domain,keyword,title,url,source_domain,seendate,language,country,date_parsed,dup_count
soil carbon requestration,carbon farming,Soil Feedback : Environment,http://peakoil.com/forums/viewtopic.php?p=1352387,peakoil.com,20170315T214500Z,English,United States,2017-03-15 21:45:00,3
soil carbon requestration,carbon farming,NYS Assembly Budget Includes Funding For Carbon Farming Tax Credit Study,http://wamc.org/post/nys-assembly-budget-includes-funding-carbon-farming-tax-credit-study,wamc.org,20170319T164500Z,English,United States,2017-03-19 16:45:00,1
soil carbon requestration,carbon farming,Artificial soils could be key in rehabilitation of Latrobe Valley coal mines,https://phys.org/news/2017-03-artificial-soils-key-latrobe-valley.html,phys.org,20170327T121500Z,English,United States,2017-03-27 12:15:00,1
soil carbon requestration,carbon farming,A Climate Solution,http://www.bohemian.com/northbay/a-climate-solution/Content?oid=3379254,bohemian.com,20170329T121500Z,English,United States,2017-03-29 12:15:00,1
soil carbon requestration,carbon farming,EcoWatch,http://www.ecowatch.com/tag/ocean-acidification,ecowatch.com,20170330T190000Z,English,United States,2017-03-30 19:00:00,1
soil carbon requestration,soil carbon storage,Paris soil carbon sequestration goals called unrealistic,https://phys.org/news/2017-04-paris-soil-carbon-sequestration-goals.html,phys.org,20170421T131500Z,English,United States,2017-04-21 13:15:00,1
soil carbon requestration,soil carbon storage,Investment made in soil health program at Dal AC,http://www.trurodaily.com/news/local/2017/4/21/investment-made-in-soil-health-program-at-dal-ac.html,trurodaily.com,20170422T041500Z,English,United States,2017-04-22 04:15:00,1
soil carbon requestration,soil carbon storage,Are the Paris soil carbon sequestration goals unrealistic ?,https://www.sciencedaily.com/releases/2017/04/170421091701.htm,sciencedaily.com,20170424T043000Z,English,United States,2017-04-24 04:30:00,1
soil carbon requestration,soil carbon storage,Wisconsin Ag Connection,http://www.wisconsinagconnection.com/story-national.php?Id=844&yr=2017,wisconsinagconnection.com,20170425T143000Z,English,United States,2017-04-25 14:30:00,1
soil carbon requestration,soil carbon storage,"No biochar benefit for temperate zone crops , says new report",https://www.sciencedaily.com/releases/2017/04/170425131407.htm,sciencedaily.com,20170425T194500Z,English,United States,2017-04-25 19:45:00,1
soil carbon requestration,carbon farming,New State Of Voluntary Carbon Markets Report Set To Launch At Innovate4Climate,http://www.ecosystemmarketplace.com/articles/new-state-voluntary-carbon-markets-report-set-launch-innovate4climate/,ecosystemmarketplace.com,20170507T181500Z,English,United States,2017-05-07 18:15:00,1
soil carbon requestration,carbon farming,"Australia Kimberley : Natural Wonderland , Cultural Landscape and Conservation Beacon",http://blog.nature.org/conservancy/2017/05/10/australias-kimberley-natural-wonderland-cultural-landscape-and-conservation-beacon/,blog.nature.org,20170510T163000Z,English,United States,2017-05-10 16:30:00,1
soil carbon requestration,carbon farming,SEEDS Launches Energy Farm Exhibits at Historic Barns Park,http://mynorth.com/2017/05/seeds-traverse-city-launches-energy-farm-exhibits/,mynorth.com,20170516T191500Z,English,United States,2017-05-16 19:15:00,1
soil carbon requestration,soil carbon storage,New York announces plan to reduce methane emissions,http://biomassmagazine.com/articles/14382/new-york-announces-plan-to-reduce-methane-emissions,biomassmagazine.com,20170518T234500Z,English,United States,2017-05-18 23:45:00,2
soil carbon requestration,carbon farming,Let Skip the War Part — and Go Right to Reparations,https://www.commondreams.org/views/2017/05/19/lets-skip-war-part-and-go-right-reparations,commondreams.org,20170519T131500Z,English,United States,2017-05-19 13:15:00,2
soil carbon requestration,carbon farming,Carbon Farming and BioChar Workshop,https://www.syracusenewtimes.com/pec-events/carbon-farming-and-biochar-workshop/1495270800,syracusenewtimes.com,20170520T074500Z,English,United States,2017-05-20 07:45:00,2
soil carbon requestration,carbon farming,ILC Indigenous Land,http://www.4-traders.com/news/ILC-Indigenous-Land-34m-Indigenous-savanna-fire-management-program--24502191/,4-traders.com,20170529T051500Z,English,United States,2017-05-29 05:15:00,1
soil carbon requestration,soil carbon storage,UBC research supports on,http://www.tmcnet.com/usubmit/2017/06/06/8559187.htm,tmcnet.com,20170606T171500Z,English,United States,2017-06-06 17:15:00,1
soil carbon requestration,soil carbon storage,Replacing trees with bamboos halves the carbon storage capacity of forests,https://phys.org/news/2017-06-trees-bamboos-halves-carbon-storage.html,phys.org,20170614T153000Z,English,United States,2017-06-14 15:30:00,1
soil carbon requestration,soil carbon storage,Carbon catch,http://theconversation.com/carbon-catch-22-the-pollution-in-our-soil-78718,theconversation.com,20170620T191500Z,English,United States,2017-06-20 19:15:00,1
soil carbon requestration,carbon farming,Greg Ludlow : County commissioners contradict themselves on climate change,http://www.dailycamera.com/letters/ci_31107962/greg-ludlow-county-commissioners-contradict-themselves-climate-change,dailycamera.com,20170702T061500Z,English,United States,2017-07-02 06:15:00,1
soil carbon requestration,carbon farming,Napa farmers stand by Paris climate accord,http://napavalleyregister.com/news/local/napa-farmers-stand-by-paris-climate-accord/article_78539f5f-466b-5de1-8c8c-d7a3f67e12e8.html,napavalleyregister.com,20170704T004500Z,English,United States,2017-07-04 00:45:00,1
soil carbon requestration,carbon farming,Episcopal Church announces Stewardship of Creation grant recipients,http://episcopaldigitalnetwork.com/ens/2017/07/06/episcopal-church-announces-stewardship-of-creation-grant-recipients-2/,episcopaldigitalnetwork.com,20170706T174500Z,English,United States,2017-07-06 17:45:00,1
soil carbon requestration,carbon farming,North Coast Brewing recognized,http://www.advocate-news.com/20170622/north-coast-brewing-recognized,advocate-news.com,20170707T194500Z,English,United States,2017-07-07 19:45:00,1
soil carbon requestration,carbon farming,Nathan Kaufman on Method to the Madness,http://www.kalx.berkeley.edu/news/nathan-kaufman-method-madness,kalx.berkeley.edu,20170708T074500Z,English,United States,2017-07-08 07:45:00,1
soil carbon requestration,carbon farming,Climate change is shaping the future of food – VICE News,https://news.vice.com/story/climate-change-is-shaping-the-future-of-food,news.vice.com,20170708T141500Z,English,United States,2017-07-08 14:15:00,1
soil carbon requestration,carbon farming,Center for Food Safety Soil Solutions,https://www.ecowatch.com/community/soilsolutions/,ecowatch.com,20170713T004500Z,English,United States,2017-07-13 00:45:00,1
soil carbon requestration,carbon farming,6 States Tapping Into the Benefits of Carbon Farming,https://www.ecowatch.com/carbon-farming-2457937143.html,ecowatch.com,20170713T004500Z,English,United States,2017-07-13 00:45:00,2
soil carbon requestration,carbon farming,Climate scientist Paul Beckwith on the jetstream crossing and our global climate emergency,http://www.globalpossibilities.org/103720-2/,globalpossibilities.org,20170717T230000Z,English,United States,2017-07-17 23:00:00,1
soil carbon requestration,carbon farming,8 Ways to Sequester Carbon to Avoid Climate Catastrophe,https://www.ecowatch.com/carbon-sequestration-2461971411.html,ecowatch.com,20170719T201500Z,English,United States,2017-07-19 20:15:00,1
soil carbon requestration,carbon farming,The next big idea in the fight against climate change,http://www.houstonchronicle.com/opinion/outlook/article/The-next-big-idea-in-the-fight-against-climate-11307738.php,houstonchronicle.com,20170723T050000Z,English,United States,2017-07-23 05:00:00,1
soil carbon requestration,carbon farming,Irish Sun,http://www.irishsun.com/news/254098803/ireland-climate-plan-offers-vague-intentions,irishsun.com,20170725T171500Z,English,United States,2017-07-25 17:15:00,1
soil carbon requestration,carbon farming,This California Dairy Farmer Says He Got a Carbon,http://www.triplepundit.com/2017/07/california-dairy-farmer-carbon-positive-solution-fight-emissions/,triplepundit.com,20170726T130000Z,English,United States,2017-07-26 13:00:00,1
soil carbon requestration,carbon farming,Organic Dairy Farmer Albert Straus Announces The First Full,http://www.perishablenews.com/index.php?article=0061897,perishablenews.com,20170728T060000Z,English,United States,2017-07-28 06:00:00,1
soil carbon requestration,carbon farming,Bringing our soil back to life with the latest in earth science,https://www.newscientist.com/article/mg23531360-800-can-the-latest-word-in-soil-science-bring-exhausted-lands-back-to-life/,newscientist.com,20170730T104500Z,English,United States,2017-07-30 10:45:00,2
soil carbon requestration,carbon farming,Organic dairy pioneer develops electric semi,https://www.treehugger.com/cars/organic-dairy-pioneer-develops-electric-semi-truck-powered-cow-poop.html,treehugger.com,20170801T200000Z,English,United States,2017-08-01 20:00:00,2
soil carbon requestration,carbon farming,Carbon Farming Taking Root in California,http://radio.krcb.org/post/carbon-farming-taking-root-california,radio.krcb.org,20170801T203000Z,English,United States,2017-08-01 20:30:00,2
soil carbon requestration,carbon farming,"Seashore ranch suit , funding for ag projects discussed",https://www.ptreyeslight.com/article/seashore-ranch-suit-funding-ag-projects-discussed,ptreyeslight.com,20170810T181500Z,English,United States,2017-08-10 18:15:00,1
soil carbon requestration,carbon farming,Farmer designs methane,http://www.agriview.com/briefs/dairy/farmer-designs-methane-powered-truck/article_b3e5a5cd-1546-5637-a2dd-a77a9dd4e767.html,agriview.com,20170813T100000Z,English,United States,2017-08-13 10:00:00,1
soil carbon requestration,carbon farming,California Hopes  Healthy Soil  Will Fight Climate Change,http://www.kpbs.org/news/2017/aug/14/california-hopes-farmers-healthy-soil-will-fight-c/,kpbs.org,20170814T200000Z,English,United States,2017-08-14 20:00:00,1
soil carbon requestration,carbon farming,Publications,http://www.climatecentral.org/research-other-reports,climatecentral.org,20170815T230000Z,English,United States,2017-08-15 23:00:00,1
soil carbon requestration,carbon farming,EAST COUNTY ROUNDUP : LOCAL AND STATEWIDE NEWS,http://www.eastcountymagazine.org/east-county-roundup-local-and-statewide-news-187,eastcountymagazine.org,20170816T201500Z,English,United States,2017-08-16 20:15:00,1
soil carbon requestration,carbon farming,Multi,http://www.resilience.org/stories/2017-08-21/multi-colored-merinos-kirabo-pastures/,resilience.org,20170821T144500Z,English,United States,2017-08-21 14:45:00,1
soil carbon requestration,carbon farming,Farmland Can Sequester Carbon From the Atmosphere,https://www.voanews.com/a/california-carbon-farming/3994464.html,voanews.com,20170821T214500Z,English,United States,2017-08-21 21:45:00,1
soil carbon requestration,carbon farming,California Telegraph,http://www.californiatelegraph.com/news/254435409/farmland-can-sequester-carbon-from-the-atmosphere,californiatelegraph.com,20170822T010000Z,English,United States,2017-08-22 01:00:00,1
soil carbon requestration,soil carbon storage,"This is why when you talk about climate change , you can ’ t ignore agriculture",https://www.washingtonpost.com/news/energy-environment/wp/2017/08/23/this-is-why-when-you-talk-about-climate-change-you-cant-ignore-agriculture/,washingtonpost.com,20170823T150000Z,English,United States,2017-08-23 15:00:00,1
soil carbon requestration,carbon farming,Another Path for Tajiguas,http://www.independent.com/news/2017/aug/24/another-path-tajiguas/,independent.com,20170824T121500Z,English,United States,2017-08-24 12:15:00,1
soil carbon requestration,carbon farming,"To Avoid Climate Catastrophe , Well Need to Remove CO2 From the Air",http://www.truth-out.org/news/item/41718-to-avoid-climate-catastrophe-we-ll-need-to-remove-co2-from-the-air,truth-out.org,20170825T174500Z,English,United States,2017-08-25 17:45:00,1
soil carbon requestration,soil carbon storage,Open soil science : technology is helping us discover the mysteries under our feet,http://theconversation.com/open-soil-science-technology-is-helping-us-discover-the-mysteries-under-our-feet-81727,theconversation.com,20170901T073000Z,English,United States,2017-09-01 07:30:00,1
soil carbon requestration,carbon farming,Could Carbon Farming Help Slow Rising Temperatures ?,https://learningenglish.voanews.com/a/could-carbon-farming-help-slow-rising-temperatures/4010236.html,learningenglish.voanews.com,20170904T020000Z,English,United States,2017-09-04 02:00:00,1
soil carbon requestration,carbon farming,Santa Barbara County on track to meet state greenhouse gas reduction goals,http://santamariatimes.com/news/local/govt-and-politics/santa-barbara-county-on-track-to-meet-state-s-greenhouse/article_89dc9910-a0ff-5361-8b18-c742f409e911.html,santamariatimes.com,20170913T014500Z,English,United States,2017-09-13 01:45:00,2
soil carbon requestration,carbon farming,County supervisors debate climate change during meeting,http://www.santamariasun.com/news/16541/county-supervisors-debate-climate-change-during-meeting/,santamariasun.com,20170914T073000Z,English,United States,2017-09-14 07:30:00,1
soil carbon requestration,carbon farming,The Sacred Cow : Fighting Desertification,http://www.utne.com/environment/fighting-desertification-zm0z17uzcwil,utne.com,20170921T033000Z,English,United States,2017-09-21 03:30:00,1
soil carbon requestration,carbon farming,Letter : Harvey is warning to reduce greenhouse gas emissions,http://www.nwherald.com/2017/09/14/letter-harvey-is-warning-to-reduce-greenhouse-gas-emissions/ap9votk/,nwherald.com,20170921T183000Z,English,United States,2017-09-21 18:30:00,1
soil carbon requestration,carbon farming,Garlic and Arts Festival to feature 8 presentations,http://www.recorder.com/Presentations-at-Garlic-and-Arts-12603203,recorder.com,20170922T063000Z,English,United States,2017-09-22 06:30:00,1
soil carbon requestration,soil carbon storage,"Soil holds potential to slow global warming , two studies show",http://www.pressreleasepoint.com/soil-holds-potential-slow-global-warming-two-studies-show,pressreleasepoint.com,20171005T144500Z,English,United States,2017-10-05 14:45:00,3
soil carbon requestration,soil carbon storage,Climate solution in soil ?,https://www.eurekalert.org/pub_releases/2017-10/su-csi100417.php,eurekalert.org,20171005T154500Z,English,United States,2017-10-05 15:45:00,1
soil carbon requestration,soil carbon storage,"Soil holds potential to slow global warming , researchers find",https://phys.org/news/2017-10-soil-potential-global.html,phys.org,20171005T154500Z,English,United States,2017-10-05 15:45:00,1
soil carbon requestration,soil carbon storage,Stanford Study Reveals Soil has Potential to Slow Global Warming,https://www.azocleantech.com/news.aspx?newsID=24288,azocleantech.com,20171006T151500Z,English,United States,2017-10-06 15:15:00,1
soil carbon requestration,soil carbon storage,Dueling science : Yesterday –  Soil will accelerate global warming  Today –  Soil holds potential to slow global warming,https://wattsupwiththat.com/2017/10/06/dueling-science-yesterday-soil-will-accelerate-global-warming-today-soil-holds-potential-to-slow-global-warming/,wattsupwiththat.com,20171006T190000Z,English,United States,2017-10-06 19:00:00,2
soil carbon requestration,soil carbon storage,Soil holds potential to slow global warming – University of Hawaiʻi System News,http://www.hawaii.edu/news/2017/10/06/soil-holds-potential-to-slow-global-warming/,hawaii.edu,20171007T004500Z,English,United States,2017-10-07 00:45:00,1
soil carbon requestration,soil carbon storage,How treating dirt well could fight climate change,http://www.futurity.org/soil-carbon-climate-change-1567212/,futurity.org,20171009T200000Z,English,United States,2017-10-09 20:00:00,1
soil carbon requestration,soil carbon storage,Slowing Global Warming,http://www.selectscience.net/industry-news/soil-holds-potential-to-slow-global-warming?artID=44932,selectscience.net,20171012T103000Z,English,United States,2017-10-12 10:30:00,2
soil carbon requestration,soil carbon storage,Texas A & M University,http://www.4-traders.com/news/Texas-A-M-University-Soil-Holds-The-Potential-To-Slow-Global-Warming--25302861/,4-traders.com,20171017T164500Z,English,United States,2017-10-17 16:45:00,1
soil carbon requestration,soil carbon storage,MyJournals . org,http://www.myjournals.org/index.php?nr=421390,myjournals.org,20171025T084500Z,English,United States,2017-10-25 08:45:00,1
soil carbon requestration,soil carbon storage,Soil Holds The Potential To Slow Global Warming,http://today.tamu.edu/2017/10/17/soil-holds-the-potential-to-slow-global-warming/,today.tamu.edu,20171031T001500Z,English,United States,2017-10-31 00:15:00,1
soil carbon requestration,carbon farming,"Forget turning straw into gold , farmers can turn trash into energy",http://theconversation.com/forget-turning-straw-into-gold-farmers-can-turn-trash-into-energy-86616,theconversation.com,20171103T070000Z,English,United States,2017-11-03 07:00:00,1
soil carbon requestration,carbon farming,How farmers can turn trash into energy,https://phys.org/news/2017-11-farmers-trash-energy.html,phys.org,20171103T131500Z,English,United States,2017-11-03 13:15:00,1
soil carbon requestration,carbon farming,John Roulac,https://www.ecowatch.com/community/john_roulac,ecowatch.com,20171104T174500Z,English,United States,2017-11-04 17:45:00,1
soil carbon requestration,soil carbon storage,Good news : Soil could be a much larger carbon sink than we hoped,http://www.sciencealert.com/soil-minerals-could-be-huge-carbon-dioxide-sink,sciencealert.com,20171111T234500Z,English,United States,2017-11-11 23:45:00,3
soil carbon requestration,carbon farming,The National Energy Guarantee : Our new technology,http://www.mondaq.com/australia/x/645390/Renewables/The+National+Energy+Guarantee+Our+new+technologyneutral+energy+policy,mondaq.com,20171112T213000Z,English,United States,2017-11-12 21:30:00,2
soil carbon requestration,carbon farming,This  Climate Beneficial  Wool Hat Comes From Carbon,https://www.fastcompany.com/40493770/this-climate-beneficial-wool-hat-comes-from-carbon-positive-sheep,fastcompany.com,20171113T120000Z,English,United States,2017-11-13 12:00:00,1
soil carbon requestration,carbon farming,PlanetSave,https://planetsave.com/2017/11/13/amazon-and-the-future-of-food/,planetsave.com,20171113T130000Z,English,United States,2017-11-13 13:00:00,1
soil carbon requestration,carbon farming,Amazon & The Future Of Food,https://cleantechnica.com/2017/11/13/amazon-future-food/,cleantechnica.com,20171113T164500Z,English,United States,2017-11-13 16:45:00,1
soil carbon requestration,soil carbon storage,Ecosystem carbon stocks of mangroves across broad environmental gradients in West,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0187749,journals.plos.org,20171113T211500Z,English,United States,2017-11-13 21:15:00,1
soil carbon requestration,carbon farming,Gear News : The North Face launches new carbon,https://www.grindtv.com/gear/gear-news-the-north-face-launches-new-carbon-offsetting-beanie/,grindtv.com,20171113T221500Z,English,United States,2017-11-13 22:15:00,1
soil carbon requestration,soil carbon storage,Zasso CEO Dirk Vandenhirtz :  Reversion to Ploughing is Not an Alternative,https://www.marketwatch.com/story/zasso-ceo-dirk-vandenhirtz-reversion-to-ploughing-is-not-an-alternative-2017-11-14,marketwatch.com,20171114T224500Z,English,United States,2017-11-14 22:45:00,2
soil carbon requestration,carbon farming,Indigenous fire use spreads to Botswana,https://au.news.yahoo.com/world/a/37886840/indigenous-fire-use-spreads-to-botswana/,au.news.yahoo.com,20171115T220000Z,English,United States,2017-11-15 22:00:00,2
soil carbon requestration,carbon farming,Australia is a global top,http://theconversation.com/australia-is-a-global-top-ten-deforester-and-queensland-is-leading-the-way-87259,theconversation.com,20171116T204500Z,English,United States,2017-11-16 20:45:00,2
soil carbon requestration,carbon farming,Marin Voice : Novato landfill assists in fighting climate change,http://www.marinij.com/opinion/20171116/marin-voice-novato-landfill-assists-in-fighting-climate-change,marinij.com,20171117T001500Z,English,United States,2017-11-17 00:15:00,1
soil carbon requestration,soil carbon storage,How Dirt Can Clean the Air,https://www.scientificamerican.com/article/how-dirt-can-clean-the-air/,scientificamerican.com,20171117T180000Z,English,United States,2017-11-17 18:00:00,1
soil carbon requestration,carbon farming,News,https://www.theweathernetwork.com/news/articles/australia-global-top-ten-deforester-queensland-leading-way-deforestation-science/89509,theweathernetwork.com,20171117T230000Z,English,United States,2017-11-17 23:00:00,1
soil carbon requestration,carbon farming,North Face Shares Climate Beneficial Supply Chain Innovation at the Product Level,http://justmeans.com/blog/north-face-shares-climate-beneficial-supply-chain-innovation-at-the-product-level,justmeans.com,20171118T011500Z,English,United States,2017-11-18 01:15:00,1
soil carbon requestration,carbon farming,North Face Created A Hat That Benefits The Environment,https://www.psfk.com/2017/11/the-north-face-created-a-hat-that-benefits-the-environment.html,psfk.com,20171120T151500Z,English,United States,2017-11-20 15:15:00,1
soil carbon requestration,carbon farming,How carbon farming can help solve climate change,https://phys.org/news/2017-11-carbon-farming-climatechange.html,phys.org,20171122T133000Z,English,United States,2017-11-22 13:30:00,1
soil carbon requestration,carbon farming,Rangelands land tenure reform back on the WA Government agenda,http://mondaq.com/australia/x/649786/agriculture+land+law/Rangelands+land+tenure+reform+back+on+the+WA+Government+agenda,mondaq.com,20171125T063000Z,English,United States,2017-11-25 06:30:00,2
soil carbon requestration,carbon farming,A Key In The Fight Against Climate Change That You Might Not Be Aware Of ..,https://blogforiowa.com/2017/11/25/a-key-in-the-fight-against-climate-change-that-you-might-not-be-aware-of/,blogforiowa.com,20171125T160000Z,English,United States,2017-11-25 16:00:00,1
soil carbon requestration,carbon farming,The Mail,https://www.newyorker.com/magazine/2017/12/04/letters-from-the-december-4-2017-issue,newyorker.com,20171127T120000Z,English,United States,2017-11-27 12:00:00,1
soil carbon requestration,carbon farming,Department of Environment and Energy Austral,http://www.4-traders.com/news/Department-of-Environment-and-Energy-Austral-Minor-changes-to-seven-methods-and-closure-of-the-CFI--25590698/,4-traders.com,20171130T060000Z,English,United States,2017-11-30 06:00:00,2
soil carbon requestration,carbon farming,Clean Your Plate to Reduce Greenhouse Gasses,http://www.sonomacountygazette.com/sonoma-county-news/clean-your-plate-to-reduce-greenhouse-gasses,sonomacountygazette.com,20171130T083000Z,English,United States,2017-11-30 08:30:00,1
soil carbon requestration,carbon farming,Ranchers want to sequester more carbon,https://www.ptreyeslight.com/article/ranchers-want-sequester-more-carbon,ptreyeslight.com,20180104T213000Z,English,United States,2018-01-04 21:30:00,1
soil carbon requestration,carbon farming,Valley Journal : Organic gardening has low carbon footprint,http://www.valleyjournal.net/article/18980/Organic-gardening-has-low-carbon-footprint,valleyjournal.net,20180109T023000Z,English,United States,2018-01-09 02:30:00,2
soil carbon requestration,carbon farming,Preaching climate - friendly farming in Trump country,https://www.washingtonpost.com/news/theworldpost/wp/2018/01/11/food-climate/,washingtonpost.com,20180111T204500Z,English,United States,2018-01-11 20:45:00,1
soil carbon requestration,carbon farming,Center for Carbon Removal on Method to the Madness,https://www.kalx.berkeley.edu/news/center-carbon-removal-method-madness,kalx.berkeley.edu,20180112T210000Z,English,United States,2018-01-12 21:00:00,1
soil carbon requestration,carbon farming,Is nuclear power really that expensive ?,http://grist.org/article/is-nuclear-power-really-that-expensive/,grist.org,20180126T170000Z,English,United States,2018-01-26 17:00:00,1
soil carbon requestration,carbon farming,"Biochar , a Valuable Soil Carbon Negative Supplement for Soil Environment , to Witness a CAGR of 14 . 18 % during 2017 - 2023",https://globenewswire.com/news-release/2018/01/10/1286594/0/en/Biochar-a-Valuable-Soil-Carbon-Negative-Supplement-for-Soil-Environment-to-Witness-a-CAGR-of-14-18-during-2017-2023.html,globenewswire.com,20180128T151500Z,English,United States,2018-01-28 15:15:00,1
soil carbon requestration,carbon farming,A Guilt - Free Day on the Slopes,https://www.ecowatch.com/ecofriendly-snowboarding-gear-2529677363.html,ecowatch.com,20180129T170000Z,English,United States,2018-01-29 17:00:00,2
soil carbon requestration,carbon farming,How A Skeptical Rancher In Rural California Embraced Green - Friendly Farming With Help From A Popular Outdoors Brand,http://www.capradio.org/articles/2018/01/31/how-a-skeptical-rancher-in-rural-california-embraced-green-friendly-farming-with-help-from-a-popular-outdoors-brand/,capradio.org,20180201T031500Z,English,United States,2018-02-01 03:15:00,2
soil carbon requestration,carbon farming,Maui Energy Conference to explore decarbonization - LahainaNews . com,http://www.lahainanews.com/page/content.detail/id/564586/Maui-Energy-Conference-to-explore-decarbonization.html,lahainanews.com,20180201T084500Z,English,United States,2018-02-01 08:45:00,2
soil carbon requestration,carbon farming,How A Skeptical Rancher In Rural California Embraced Green - Friendly Farming,http://kvpr.org/post/how-skeptical-rancher-rural-california-embraced-green-friendly-farming,kvpr.org,20180202T224500Z,English,United States,2018-02-02 22:45:00,1
soil carbon requestration,carbon farming,How A Skeptical Northern California Rancher Embraced Green - Friendly Farming,http://ijpr.org/post/how-skeptical-northern-california-rancher-embraced-green-friendly-farming,ijpr.org,20180203T014500Z,English,United States,2018-02-03 01:45:00,1
soil carbon requestration,soil carbon storage,New research expands the potential of environmental DNA techniques in river monitoring,http://www.pressreleasepoint.com/new-research-expands-potential-environmental-dna-techniques-river-monitoring,pressreleasepoint.com,20180205T220000Z,English,United States,2018-02-05 22:00:00,1
soil carbon requestration,carbon farming,Three Acres and a Cow,http://www.resilience.org/stories/2018-02-09/three-acres-and-a-cow/,resilience.org,20180209T124500Z,English,United States,2018-02-09 12:45:00,1
soil carbon requestration,carbon farming,Advanced BioFuels united states » Agroforestry Systems May Play Vital Role in Mitigating Climate Change,https://advancedbiofuelsusa.info/agroforestry-systems-may-play-vital-role-in-mitigating-climate-change/,advancedbiofuelsusa.info,20180209T213000Z,English,United States,2018-02-09 21:30:00,1
soil carbon requestration,carbon farming,Valley News,http://www.vnews.com/Carbon-sequestration-in-Vermont-15578320,vnews.com,20180218T061500Z,English,United States,2018-02-18 06:15:00,1
soil carbon requestration,carbon farming,The Fareground brings the farm and the farmer to the table in Berkeley Berkeleyside,http://www.berkeleyside.com/2018/02/23/the-fareground-in-berkeley/,berkeleyside.com,20180224T001500Z,English,United States,2018-02-24 00:15:00,1
soil carbon requestration,carbon farming,Ag conference takes root in Chico,http://www.actionnewsnow.com/content/news/Ag-Conference-takes-root-in-Chico-475064063.html,actionnewsnow.com,20180225T063000Z,English,United States,2018-02-25 06:30:00,1
soil carbon requestration,carbon farming,"How A Skeptical Rancher , Aided By An Outdoors Brand , Turned Climate Friendly",http://wmot.org/post/how-skeptical-rancher-aided-outdoors-brand-turned-climate-friendly,wmot.org,20180226T133000Z,English,United States,2018-02-26 13:30:00,48
soil carbon requestration,carbon farming,"How A Skeptical Rancher , Aided By An Outdoors Brand , Turned Climate Friendly : The Salt",https://www.npr.org/sections/thesalt/2018/02/26/588005181/how-a-skeptical-rancher-aided-by-an-outdoors-brand-turned-climate-friendly,npr.org,20180226T134500Z,English,United States,2018-02-26 13:45:00,1
soil carbon requestration,carbon farming,"How A Skeptical Rancher , Aided By An Outdoors Brand , Turned Climate Friendly . News",https://www.opb.org/news/article/npr-how-a-skeptical-rancher-aided-by-an-outdoors-brand-turned-climate-friendly/,opb.org,20180226T153000Z,English,United States,2018-02-26 15:30:00,1
